SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,174,0,N/A,public,N/A,idx_aml_alerts_assigned,public.idx_aml_alerts_assigned,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,370,205,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,173,0,N/A,public,N/A,idx_aml_alerts_date,public.idx_aml_alerts_date,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,369,89,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,172,0,N/A,public,N/A,idx_aml_alerts_status,public.idx_aml_alerts_status,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,368,90,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,171,0,N/A,public,N/A,idx_aml_alerts_type_priority,public.idx_aml_alerts_type_priority,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,367,70,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,170,0,N/A,public,N/A,idx_aml_alerts_transaction,public.idx_aml_alerts_transaction,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,366,89,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,169,0,N/A,public,N/A,idx_aml_alerts_account,public.idx_aml_alerts_account,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,364,74,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,168,0,N/A,public,N/A,idx_aml_alerts_customer,public.idx_aml_alerts_customer,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,363,93,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,164,0,N/A,public,N/A,idx_stress_test_results_date,public.idx_stress_test_results_date,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,362,55,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,163,0,N/A,public,N/A,idx_stress_test_results_portfolio,public.idx_stress_test_results_portfolio,CREATE INDEX,XS
