SessionID,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self)
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CRYPT,SQL,3,3
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,TO_TSVECTOR,SQL,2,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,LPAD,SQL,14,1
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,ABS,SQL,2,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,STDDEV,SQL,1,0
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,TIMESTAMP,SQL,214,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,PRIMARY KEY COLUMN,SQL,165,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,AVG,SQL,24,1
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,INTEGER,SQL,397,0
85141c89-454c-4332-ac2a-5a045f33db04,Operator,NOT,SQL,9,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,LEFT JOIN,SQL,17,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,FROM,SQL,127,33
85141c89-454c-4332-ac2a-5a045f33db04,DML,INTO,SQL,76,9
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,JSONB,SQL,31,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,COALESCE,SQL,5,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,ASC,SQL,1,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,SET,SQL,9,0
85141c89-454c-4332-ac2a-5a045f33db04,DML,UPDATE,SQL,9,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,ALL,SQL,2,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,SUM,SQL,24,5
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,DEFAULT COLUMN,SQL,480,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,VERSION,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,Query,RETURNS,SQL,30,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL,DROP FUNCTION,SQL,5,5
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,IF NOT EXISTS,SQL,10,10
85141c89-454c-4332-ac2a-5a045f33db04,Statement,RETURN,SQL,45,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,THEN,SQL,87,2
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,DEFAULT,SQL,480,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,ORDER BY,SQL,42,12
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,UNIQUE COLUMN,SQL,80,5
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,MD5,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,Operator,AND,SQL,52,18
85141c89-454c-4332-ac2a-5a045f33db04,Operator,<=,SQL,6,1
85141c89-454c-4332-ac2a-5a045f33db04,Operator,||,SQL,429,8
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,INTERVAL,SQL,5,5
85141c89-454c-4332-ac2a-5a045f33db04,Statement,RAISE,SQL,12,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,ROW_TO_JSON,SQL,4,4
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,ARRAY LITERAL,SQL,20,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL,CREATE INDEX,SQL,198,0
85141c89-454c-4332-ac2a-5a045f33db04,Statement - Control of Flow,SEARCHED CASE EXPRESSION,SQL,70,2
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,AGE,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,Query,CROSS JOIN,SQL,17,0
85141c89-454c-4332-ac2a-5a045f33db04,Statement,DECLARE,SQL,22,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,IF EXISTS,SQL,5,5
85141c89-454c-4332-ac2a-5a045f33db04,Statement,ANALYZE,SQL,1,0
85141c89-454c-4332-ac2a-5a045f33db04,Statement,GET DIAGNOSTICS,SQL,2,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,LEAST,SQL,1,0
